"date_label","City","geo_label_state","Adult_Mental_Distress","Homicides","Income_Inequality","Minority_Pop","Per_Cap_HI","Population_Density","Violent_Crime","Poverty","Segregation","Unemprate","Unemployment_2019","u2014","change","average"
2019,"Washington","DC",13.3,20.19124405,0.5269,63.42150739,56147,11346.45146,977,28.28737138,54.77743637,6.908195377,4.4,6.1,-1.7,"B"
2019,"Minneapolis","MN",14.4,8.257470531,0.4986,40.00342593,38808,7787.684386,926,36.18799123,42.21058544,5.079552197,3.3,5,-1.7,"B"
2019,"Charlotte","NC",14.2,9.668777525,0.4962,58.51975391,38000,2880.373117,739,30.89606049,47.21143267,5.015234298,2.6,6.7,-4.1,"A"
2019,"El Paso","TX",14.4,3.886805185,0.4643,87.23310675,22734,2663.474377,353,44.58325522,34.78169993,6.118989792,3.5,4.6,-1.1,"B"
2019,"Milwaukee","WI",17.3,22.40940022,0.4741,64.92781071,23462,6185.332667,1332,49.88920314,56.80117343,6.776337439,3.3,6.8,-3.5,"A"
2019,"Seattle","WA",12.3,3.372521961,0.4863,36.15590117,59835,8628.573479,585,20.59164602,32.9569268,4.094274158,2.7,3.2,-0.5,"B"
2019,"Austin","TX",13.6,3.464729989,0.4841,51.71617373,43043,3191.741886,401,29.15906175,36.4936174,3.739109771,2.5,3.2,-0.7,"B"
2019,"Houston","TX",15.1,14.18216589,0.5302,75.58707636,32521,3853.356661,1072,43.10921248,57.09957598,5.858973879,3.6,4.5,-0.9,"B"
2019,"Philadelphia","PA",17.5,24.1870074,0.5182,65.52196697,27924,11775.22671,909,44.75772125,60.28536632,9.171527592,5.1,7.7,-2.6,"A"
2019,"Portland","OR",14.7,4.844904422,0.4726,29.43958617,41310,4836.299767,545,28.69532494,24.26821629,4.808674575,2.7,5.2,-2.5,"A"
2019,"Memphis","TN",19.1,37.21976592,0.5202,74.31480584,25605,2069.265584,1901,48.57779064,60.68694581,8.670745793,4.7,6.3,-1.6,"B"
2019,"San Antonio","TX",14.6,8.775866044,0.4656,75.31966079,25894,3271.802833,708,40.25093332,40.18030884,5.519827219,3.1,4.6,-1.5,"B"
2019,"Dallas","TX",15.3,11.66998747,0.5373,71.0338551,34479,3907.604436,863,43.705076,54.72488537,4.712752011,3.2,4.5,-1.3,"B"
2019,"Cleveland","OH",20.9,29.56787356,0.5154,66.20371572,21223,4958.777793,1517,57.72896411,50.8512095,13.18289721,6.6,10.8,-4.2,"A"
2019,"Oklahoma City","OK",16,9.367420854,0.4734,46.49133436,30567,1061.478923,722,36.5314127,36.08826002,4.278733098,2.6,4.1,-1.5,"B"
2019,"Columbus","OH",17.7,12.42600108,0.4431,44.86786796,29322,4045.472822,503,38.78358602,42.45392035,5.49138325,3.4,4.5,-1.1,"B"
2019,"Kansas City","MO",15.9,27.56690275,0.4734,44.83639115,32348,1544.383899,1431,34.70581587,48.29913096,4.804289908,2.6,4.6,-2,"B"
2019,"Las Vegas","NV",15.9,7.281269248,0.4862,56.49578668,30761,4673.815468,531,35.02781876,35.76336785,6.65939355,3.7,6.5,-2.8,"A"
2019,"Boston","MA",15.5,5.725059544,0.5393,55.50360254,44690,14176.01777,607,33.55281819,49.50955198,6.629455878,3.1,5.6,-2.5,"A"
2019,"Baltimore","MD",16.8,42.42205709,0.5145,72.50883369,31271,7524.141784,1859,40.27752926,59.52001091,8.290153749,4.6,7.2,-2.6,"A"
2019,"Detroit","MI",20.7,37.72422095,0.5112,89.47529863,18621,4863.705611,1965,60.70971693,52.9753617,15.66562904,6.3,11.6,-5.3,"A"
2019,"Indianapolis","IN",16.9,21.92981858,0.4845,45.52401709,28363,2391.719824,1273,40.18124639,44.49885686,6.380044399,3.7,6,-2.3,"A"
2019,"Chicago","IL",14.6,19.90987762,0.5315,66.71866823,37103,11902.99191,943,37.89837983,58.85044375,8.061844435,4.2,7.2,-3,"A"
2019,"Long Beach","CA",14,7.642745816,0.4685,71.83724099,32323,9281.057396,506,37.40293685,52.19168339,5.955102256,3.4,6.6,-3.2,"A"
2019,"San Jose","CA",11.4,3.187154418,0.4505,74.27492726,46599,5821.732773,438,20.96189587,41.78700719,4.720685792,2.5,4.6,-2.1,"B"
2019,"San Diego","CA",13.1,2.816652854,0.4707,57.24308,41112,4334.637795,362,28.49814435,43.94421722,5.837170528,3.3,4.7,-1.4,"B"
2019,"Tucson","AZ",17.2,9.630711319,0.4578,56.12024038,23655,2388.446094,688,46.27228494,40.03283762,7.772667617,3.8,6,-2.2,"A"
2019,"Oakland","CA",13.6,12.45791731,0.5113,71.71821961,43191,7620.164999,1272,34.44138525,46.44172824,6.073242917,3,5.1,-2.1,"B"
2019,"Phoenix","AZ",16.3,7.539561717,0.4713,57.45249437,29343,3160.45198,699,39.55205894,49.85064373,5.410453743,3,5.4,-2.4,"A"
2019,"San Francisco","CA",10.8,4.463161057,0.5099,59.49270882,68883,18666.71363,670,21.24410379,34.7084235,4.215603221,2.7,4.3,-1.6,"B"
2019,"Denver","CO",12.8,8.233467941,0.4909,45.82752248,43770,4611.60261,749,29.45707262,46.40559629,3.751122177,2.2,3.3,-1.1,"B"
2019,"Los Angeles","CA",13.7,6.85611482,0.5276,71.51564835,35261,8464.237531,732,39.09480578,55.29588596,6.327256051,3.5,6,-2.5,"A"
2019,"Fort Worth","TX",15.5,7.936520573,0.4575,60.82632568,29531,2573.135395,444,35.48570077,42.82262233,5.417152621,3.2,4.2,-1,"B"
